codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao
201110231217982,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,****,2011-10-23,18:03:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200909251799064,INCIDENTE,"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ",SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2009-09-25,19:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201304154740415,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,****,2013-04-15,17:55:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201009014590067,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8414,-60.6922,BOA VISTA,RR,BRASIL,SBBV,2010-09-01,13:30:00,,FINALIZADA,A-134/CENIPA/2011,SIM,2011-12-21,4,1,NÃO,2018-08-28
201209141796176,INCIDENTE,"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ",SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-09-14,15:15:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201501292823312,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-2.9378,-60.7192,BOA VISTA,RR,BRASIL,****,2015-01-29,20:30:00,,FINALIZADA,A-014/CENIPA/2015,SIM,2015-05-22,0,1,NÃO,2018-08-28
201212273864973,INCIDENTE,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-12-27,17:25:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200808272648966,ACIDENTE,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-2.6069,-63.8694,BOA VISTA,RR,BRASIL,SBBV,2008-08-27,22:20:00,,FINALIZADA,A-045/CENIPA/2012,SIM,2012-06-06,2,1,NÃO,2018-08-28
201209264932342,INCIDENTE,"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ",SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-09-26,10:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201604201642115,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,2.6956,-60.8142,BOA VISTA,RR,BRASIL,****,2016-04-19,10:08:00,SIM,FINALIZADA,A-072/CENIPA/2016,SIM,2017-06-22,1,1,NÃO,2018-08-28
201207171533514,INCIDENTE,SOPRO DE REATOR,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2012-07-17,12:20:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201105236654663,ACIDENTE,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.6956,-60.8142,BOA VISTA,RR,BRASIL,****,2011-05-23,10:50:00,,FINALIZADA,A-044/CENIPA/2013,SIM,2013-08-27,3,1,NÃO,2018-08-28
201505081529330,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-19.9783,-41.08,AFONSO CLÁUDIO,ES,BRASIL,****,2015-05-08,11:27:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201012113981199,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.3019,-37.8769,ÁGUA BRANCA,AL,BRASIL,****,2010-12-11,11:00:00,,ATIVA,IG-583/CENIPA/2016,NÃO,,0,1,NÃO,2018-08-28
200901078078550,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-3.7454,-61.659,ANORI,AM,BRASIL,****,2009-01-07,16:45:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200806139544442,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-3.7454,-61.659,ANORI,AM,BRASIL,****,2008-06-13,14:09:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200905218704582,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-21.6883,-51.0734,ADAMANTINA,SP,BRASIL,****,2009-05-21,10:33:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201410043195984,INCIDENTE,COM LANÇAMENTO DE CARGA,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2014-10-04,18:10:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200901125918921,INCIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2009-01-12,15:10:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201302225833590,INCIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2013-02-22,19:05:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201510036622095,INCIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2015-10-03,14:10:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200904287041195,INCIDENTE,"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ",SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2009-04-28,08:15:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201105185856144,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-05-18,21:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201201191732215,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-15.8197,-47.8747,BRASÍLIA,DF,BRASIL,****,2012-01-19,21:30:00,,FINALIZADA,A-032/CENIPA/2014,SIM,2014-04-07,2,1,NÃO,2018-08-28
201206224204460,INCIDENTE GRAVE,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA,USOS,-15.9417,-47.7203,BRASÍLIA,DF,BRASIL,SIQE,2012-06-22,12:30:00,,FINALIZADA,IG-123/CENIPA/2013,SIM,2015-05-15,1,1,NÃO,2018-08-28
200903057160862,INCIDENTE,F.O.D.,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2009-03-05,20:20:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201105235453158,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-05-23,23:47:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201211015848731,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2012-11-01,18:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200908303419146,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2009-08-30,16:35:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201803011722167,INCIDENTE GRAVE,PROBLEMAS FISIOLÓGICOS,MÉDICO,MED,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2018-02-22,11:00:00,SIM,ATIVA,IG-030/CENIPA/2018,NÃO,,0,1,NÃO,2018-08-28
201103274169638,INCIDENTE,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-03-27,15:01:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201007199377105,ACIDENTE,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-15.8539,-47.8064,BRASÍLIA,DF,BRASIL,****,2010-07-19,18:30:00,,FINALIZADA,A-037/CENIPA/2011,SIM,2011-07-21,1,1,NÃO,2018-08-28
200810288305979,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2008-10-28,22:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200810109319239,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8408,-47.9256,BRASÍLIA,DF,BRASIL,SBBR,2008-10-10,19:15:00,,ATIVA,IG-549/CENIPA/2018,NÃO,,0,1,NÃO,2018-08-28
200908249821293,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2009-08-24,11:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201401273279512,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2014-01-27,01:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201006218726530,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-06-21,17:23:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201804101509299,INCIDENTE GRAVE,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2018-04-10,00:32:00,SIM,ATIVA,IG-065/CENIPA/2018,NÃO,,0,2,NÃO,2018-08-28
200807113095482,INCIDENTE,COLISÃO DE VEÍCULO COM AERONAVE,COLISÃO NO SOLO,GCOL,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2008-07-11,09:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201602151643527,INCIDENTE,FOGO NO SOLO,FOGO/FUMAÇA (SEM IMPACTO),F-NI,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-02-14,17:30:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201005298364334,INCIDENTE,"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ",SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-05-29,15:45:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201603081820596,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-03-02,14:00:00,SIM,FINALIZADA,***,NÃO,,0,2,NÃO,2018-08-28
201601271224323,INCIDENTE,OUTROS,OUTROS,OTHR,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-01-20,01:35:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201009169551671,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-09-16,14:50:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200908067142107,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2009-08-06,13:45:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201201213452808,INCIDENTE GRAVE,FOGO EM VOO,FOGO/FUMAÇA (SEM IMPACTO),F-NI,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2012-01-21,14:50:00,,FINALIZADA,IG-544/CENIPA/2015,SIM,2017-03-31,4,1,NÃO,2018-08-28
201603081944514,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8711,47.9186,BRASÍLIA,DF,BRASIL,SBBR,2016-03-07,14:57:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201504084922109,INCIDENTE GRAVE,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA,USOS,-15.8711,-47.9186,BRASÍLIA,DF,BRASIL,SBBR,2015-04-08,16:04:00,,ATIVA,IG-057/CENIPA/2015,NÃO,,0,1,NÃO,2018-08-28
201211187960040,INCIDENTE,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2012-11-18,22:41:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201310032094858,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2013-10-03,16:22:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201006108630131,INCIDENTE,"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ",SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-06-10,17:27:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
