dre;codesc;tipoesc;nomesc;ceu;diretoria;subpref;endereco;numero;bairro;cep;tel1;tel2;fax;situacao;coddist;distrito;setor;codinep;cd_cie;eh;fx_etaria;dt_criacao;ato_criacao;doc_criacao;dt_ini_conv;dt_ini_func;dt_autoriza;dt_extintao;nome_ant;rede;latitude;longitude;database
 BT;19249;EMEF        ;PROFA. DAISY AMADIO FUJIWARA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua AMARALINA;141;JARDIM ARPOADOR;5565090;37820687;37820977;37831199;ATIVA;65;RAPOSO TAVARES;6503;35281438.0;51094;1,621E+14;;01/07/2003;43.395;30/06/2003;;13/08/2008;13/08/2008;;DAISY AMADIO FUJIWARA, PROFA.;DIR;-23.595.554;-46.787.957;30/12/2018
 BT;19262;CEU EMEF    ;BUTANTA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Avenida ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA;1870;JARDIM ESMERALDA;5588001;37324530;;;ATIVA;67;RIO PEQUENO;6704;35056996.0;53637;1,621E+14;;07/02/2003;42.832;06/02/2003;;27/08/2003;08/05/2007;;BUTANTA;DIR;-23.582.405;-46.750.786;30/12/2018
 BT;19281;CEU EMEI    ;BUTANTA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Avenida ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA;1870;JARDIM ESMERALDA;5588001;37324520;;;ATIVA;67;RIO PEQUENO;6704;35057022.0;53638;1,621E+14;;07/02/2003;42.832;06/02/2003;;27/08/2003;08/05/2007;;BUTANTA;DIR;-23.582.405;-46.750.786;30/12/2018
 BT;19327;EMEI        ;RIO PEQUENO I;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Avenida BENEDITO DE LIMA;407;VILA ANTONIO;5376020;37662170;;;ATIVA;67;RIO PEQUENO;6703;35297586.0;126826;1,621E+14;;12/12/2006;47.973;11/12/2006;;13/08/2008;13/08/2008;;RIO PEQUENO I;DIR;-23.577.176;-46.765.373;30/12/2018
 BT;19378;CEU EMEI    ;UIRAPURU;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua NAZIR MIGUEL;849;JARDIM PAULO VI;5570030;37830835;37887721;37887722;ATIVA;65;RAPOSO TAVARES;6505;35399516.0;156637;1,621E+14;;21/05/2008;49510;20/05/2008;;19/11/2010;04/09/2009;;UIRAPURU;DIR;-23.600.301;-4.678.911;30/12/2018
 BT;19416;EMEF        ;VILA MUNCK;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua JOAQUIM GUIMARÃƒES;47;BUTANTÃƒ;5574010;37823682;37823686;;ATIVA;65;RAPOSO TAVARES;6501;35428851.0;166628;1,621E+14;;28/11/2008;50267;27/11/2008;;30/08/2011;30/08/2011;;VILA MUNCK;DIR;-23.591.632;-46.800.487;30/12/2018
 BT;19417;EMEF        ;JARDIM PAULO VI;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua ENGENHEIRO HUGO TAKAHASHI;20;RAPOSO TAVARES;5563120;37827949;;;ATIVA;65;RAPOSO TAVARES;6503;35428848.0;166627;1,621E+14;;28/11/2008;50267;27/11/2008;;30/08/2011;30/08/2011;;JARDIM PAULO VI;DIR;-23.602.771;-46.786.377;30/12/2018
 BT;19519;EMEI        ;CHACARA DO JOCKEY;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua SANTA EUFRÃSIA;110;FERREIRA;5524010;37511495;37518220;;ATIVA;94;VILA SONIA;9402;35580727.0;318329;1,621E+14;;10/09/2015;56400;09/09/2015;;09/01/2017;;;CHACARA DO JOCKEY;DIR;-23.596.993;-46.745.229;30/12/2018
 BT;19520;CEMEI       ;LEILA GALLACCI METZKER, PROFA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua EDVARD CARMILO;670;JARDIM CELESTE;5528000;37511006;37511492;;ATIVA;94;VILA SONIA;9401;35580739.0;318426;1,621E+14;;10/09/2015;56401;09/09/2015;;08/05/2017;09/05/2017;;JARDIM JAQUELINE;DIR;-23.597.373;-46.752.566;30/12/2018
 BT;19551;CEU EMEF    ;DEP. CESAR ARRUDA CASTANHO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua NAZIR MIGUEL;849;JARDIM PAULO VI;5570030;37830669;;;ATIVA;65;RAPOSO TAVARES;6505;35246360.0;33961;1,621E+14;;17/12/1999;38.818;16/12/1999;;08/02/2000;13/03/2001;;JARDIM CAMBARA;DIR;-23.600.301;-4.678.911;30/12/2018
 BT;90018;EMEI        ;MONTE CASTELO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;PraÃ§a MONTE CASTELO;49;BUTANTÃƒ;5505050;30327534;38197850;;ATIVA;12;BUTANTA;1204;35051615.0;12961;1,621E+14;;;;;;25/02/1943;30/07/1985;;BUTANTA - PI 35;DIR;-23.569.457;-46.708.159;30/12/2018
 BT;90026;EMEI        ;EMIR MACEDO NOGUEIRA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;PraÃ§a GENERAL ARARIPE DE FARIA;405;VILA GOMES;5590020;37267849;;;ATIVA;12;BUTANTA;1201;35051639.0;38005;1,621E+14;;;;;;13/03/1965;18/09/1985;;EMIR MACEDO NOGUEIRA;DIR;-23.576.872;-46.731.083;30/12/2018
 BT;90034;EMEI        ;ANTONIO BENTO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua JOAO BATISTA DE SOUSA FILHO;405;CAXINGUI;5515040;37217397;37225142;;ATIVA;12;BUTANTA;1203;35051603.0;44132;1,621E+14;;;;;;01/03/1950;18/09/1985;;ANTONIO BENTO;DIR;-23.579.371;-467.157;30/12/2018
 BT;90042;EMEI        ;DES. DALMO DO VALLE NOGUEIRA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua ANDRÃ‰ SARAIVA;1140;VILA SÃ”NIA;5626001;37715208;;;ATIVA;94;VILA SONIA;9403;35087609.0;32254;1,621E+14;;14/12/1981;17.727;14/12/1981;;26/07/1982;;;DALMO DO VALLE NOGUEIRA, DES.;DIR;-2.359.739;-46.734.287;30/12/2018
 BT;90051;EMEI        ;CEL. JOAO NEGRAO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua FRANCISCO LEITE ESQUERDO;30;JARDIM CELESTE;5528040;37510224;37515587;;ATIVA;94;VILA SONIA;9401;35084360.0;25874;1,621E+14;;24/12/1980;17.101;24/12/1980;;16/03/1981;;;JARDIM CELESTE;DIR;-23.597.518;-46.756.263;30/12/2018
 BT;90069;EMEI        ;ALUISIO DE ALMEIDA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua JOSE XAVIER GUIMARAES;12;JARDIM LUCIA;5545080;37825295;;;ATIVA;65;RAPOSO TAVARES;6503;35084359.0;44458;1,621E+14;;24/12/1980;17.101;24/12/1980;;22/04/1981;;;ALUISIO DE ALMEIDA;DIR;-23.587.453;-46.767.826;30/12/2018
 BT;90077;EMEI        ;PROFA. CAROLINA RIBEIRO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua MAJOR WALTER CARLSON;879;JARDIM SAO JORGE RAPOSO TAVARES;5567050;37821248;37829748;;ATIVA;65;RAPOSO TAVARES;6503;35087580.0;38359;1,621E+14;;14/12/1981;17.727;14/12/1981;;11/03/1982;;;CAROLINA RIBEIRO, PROFA.;DIR;-23.594.829;-46.788.253;30/12/2018
 BT;90085;EMEI        ;EDUCADORA NIDA MALDI CORAZZA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua PROFESSORA ABIGAIL ALVES PIRES;76;JARDIM SARAH;5381000;37636982;37685495;;ATIVA;67;RIO PEQUENO;6703;35051627.0;31902;1,621E+14;;;;;;27/08/1968;18/09/1985;;RIO PEQUENO - PI 108;DIR;-23.573.295;-46.761.251;30/12/2018
 BT;90093;EMEI        ;RONALDO PORTO MACEDO, PROF.;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua DOUTOR FRANCISCO PATTI;345;VILA SÃƒO FRANCISCO;5352090;37142618;37636989;;ATIVA;67;RIO PEQUENO;6701;35084372.0;13308;1,621E+14;;24/12/1980;17.101;24/12/1980;;02/02/1981;13/05/1981;;RONALDO PORTO MACEDO, PROF.;DIR;-23.557.433;-46.759.017;30/12/2018
 BT;90107;EMEI        ;DEP. GILBERTO CHAVES;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua SARA NEWTON;100;JARDIM BOA VISTA;5583030;37824787;;;ATIVA;65;RAPOSO TAVARES;6502;35087592.0;44511;1,621E+14;;06/04/1982;17.914;06/04/1982;;20/05/1982;01/09/1982;;JARDIM BOA VISTA;DIR;-23.583.511;-46.792.136;30/12/2018
 BT;90115;EMEI        ;CAROLINA MARIA DE JESUS;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua DOMINGOS DE ABREU;458;VILA DALVA;5387070;37120775;37611397;;ATIVA;67;RIO PEQUENO;6702;35092782.0;19663;1,621E+14;;04/07/1985;21.065;04/07/1985;;19/08/1985;13/03/2001;;JARDIM ADALGIZA;DIR;-2.356.487;-4.676.426;30/12/2018
 BT;90123;EMEI        ;FERNANDO PESSOA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua BARTOLOMEO BON;105;JARDIM DRACENA;5528200;37510256;;;ATIVA;94;VILA SONIA;9401;35092800.0;13413;1,621E+14;;19/07/1985;21.111;19/07/1985;;04/11/1985;13/03/2001;;FERNANDO PESSOA;DIR;-23.593.766;-46.759.286;30/12/2018
 BT;90433;EMEI        ;TIDE SETUBAL;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Rua COJUBA;97;ITAIM BIBI;4533040;30784891;;;ATIVA;35;ITAIM BIBI;3501;35051913.0;25541;1,621E+14;;;;;;20/01/1948;30/07/1985;;TIDE SETUBAL;DIR;-23.586.862;-46.683.957;30/12/2018
 BT;90441;EMEI        ;PEDROSO DE MORAES;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Avenida PEDROSO DE MORAIS;100;PINHEIROS;5420000;30317010;;;ATIVA;62;PINHEIROS;6201;35052152.0;19249;1,621E+14;;;;;;22/03/1955;18/09/1985;;PEDROSO DE MORAES;DIR;-2.356.846;-46.687.804;30/12/2018
 BT;90450;EMEI        ;ANTONIO BRANCO LEFEVRE, PROF;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Rua DOUTOR OVÃDIO PIRES DE CAMPOS;342;CERQUEIRA CÃ‰SAR;5403010;30632986;30633543;;ATIVA;45;JARDIM PAULISTA;4501;35051706.0;1361;1,621E+14;;;;;;01/01/1956;30/07/1985;;ANTONIO BRANCO LEFEVRE, PROF.;DIR;-23.557.055;-46.670.438;30/12/2018
 BT;90468;EMEI        ;ZILDA DE FRANCESCHI, PROFA.;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Rua PURPURINA;290;VILA MADALENA;5435030;38197843;;;ATIVA;62;PINHEIROS;6201;35052577.0;38048;1,621E+14;;;;;;01/02/1965;30/07/1985;;ZILDA DE FRANCESCHI, PROFA.;DIR;-23.553.758;-46.691.257;30/12/2018
 BT;90484;EMEI        ;PROFA. ISABEL COLOMBO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Avenida PADRE ANTONIO JOSE DOS SANTOS;1511;CIDADE MONCOES;4563004;55063713;55067220;;ATIVA;35;ITAIM BIBI;3503;35051767.0;19237;1,621E+14;;;;;;01/06/1965;27/03/1985;;ISABEL COLOMBO, PROFA.;DIR;-23.606.955;-46.691.255;30/12/2018
 BT;92681;EMEF        ;JOSE DE ALCANTARA MACHADO FILHO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua MATTIA FILIZZOLA;76;REAL PARQUE;5685060;37591520;;;ATIVA;54;MORUMBI;5404;35053995.0;12984;1,621E+14;;27/02/1957;3.480;27/02/1957;;27/02/1957;10/04/1981;;ESCOLA MASCULINA MUNICIPAL REAL PQ MORUMBI;DIR;-23.607.777;-46.705.278;30/12/2018
 BT;92690;EMEF        ;AMORIM LIMA, DES;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua PROFESSOR VICENTE PEIXOTO;50;VILA GOMES;5587160;37261119;37268049;;ATIVA;12;BUTANTA;1201;35053144.0;12933;1,621E+14;;;;;;20/11/1956;10/04/1981;;AMORIM LIMA, DES.;DIR;-23.574.501;-46.729.251;30/12/2018
 BT;92703;EMEF        ;THEODOMIRO DIAS, DES;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;PraÃ§a DOUTOR JOSE ORIA;S/N   ;VILA SONIA;5626070;37425858;37715304;;ATIVA;94;VILA SONIA;9403;35053168.0;31879;1,621E+14;;20/03/1957;3.504;20/03/1957;;01/02/1972;10/04/1981;;THEODOMIRO DIAS, DES.;DIR;-23.594.471;-46.730.758;30/12/2018
 BT;92711;EMEF        ;MAL. DEODORO DA FONSECA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;PraÃ§a IMPRENSA PAULISTA;30;CAXINGUI;5517020;37213843;37224371;;ATIVA;12;BUTANTA;1203;35053235.0;12936;1,621E+14;;16/11/1956;3.341;16/11/1956;;11/02/1960;10/04/1981;;2 ESCOLA MISTA DO CAXINGUI;DIR;-23.582.733;-4.672.403;30/12/2018
 BT;92720;EMEF        ;ARTHUR WHITAKER, DES;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua ANDRE SARAIVA;860;VILA SONIA;5626000;37425772;;;ATIVA;94;VILA SONIA;9403;35053156.0;19207;1,621E+14;;20/03/1957;3.504;20/03/1957;;03/05/1957;01/09/1982;;ARTHUR WHITAKER, DES.;DIR;-23.596.402;-46.735.918;30/12/2018
 BT;92738;EMEF        ;TARSILA DO AMARAL;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua NATAL PIGASSI;787;JARDIM CELESTE;5527000;37510223;37515250;;ATIVA;94;VILA SONIA;9401;35053272.0;37994;1,621E+14;;03/08/1971;9.586;02/08/1971;;26/01/1972;10/04/1981;;E.M. DO JARDIM CELESTE;DIR;-23.597.878;-46.756.771;30/12/2018
 BT;92746;EMEF        ;ALIPIO ANDRADA SERPA, TTE;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua NICOLAU COPERNICO;165;JARDIM BATAGLIA;5546000;37824068;;;ATIVA;65;RAPOSO TAVARES;6503;35053284.0;1323;1,621E+14;;15/01/1971;9.252;14/01/1971;;14/01/1971;10/04/1981;;ALIPIO ANDRADA SERPA, TTE.;DIR;-2.358.834;-46.772.909;30/12/2018
 BT;92754;EMEF        ;GEN. ALCIDES GONCALVES ETCHEGOYEN;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua ADHERBAL STRESSER;686;JARDIM ARPOADOR;5566000;37821862;37829744;;ATIVA;65;RAPOSO TAVARES;6505;35053173.0;12934;1,621E+14;;20/02/1971;9.332;16/02/1971;;20/02/1971;10/04/1981;;ALCIDES GONCALVES ETCHEGOYEN, GEN.;DIR;-23.594.749;-46.791.369;30/12/2018
 BT;92762;EMEF        ;JOAO XXIII;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua CÃ”NEGO LUÃS VIEIRA DA SILVA;201;JARDIM JOÃƒO XXIII;5569110;37820750;;;ATIVA;65;RAPOSO TAVARES;6505;35053211.0;44115;1,621E+14;;20/01/1975;11.713;20/01/1975;;03/02/1975;10/04/1981;;JOAO XXIII;DIR;-23.598.579;-46.792.166;30/12/2018
 BT;92771;EMEF        ;SOLANO TRINDADE;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua GABRIEL DE CARVALHO;60;JARDIM BOA VISTA;5583080;37811914;37824889;;ATIVA;65;RAPOSO TAVARES;6502;35083963.0;19535;1,621E+14;;13/03/1980;16.529;12/03/1980;;20/05/1982;06/05/1981;;SOLANO TRINDADE;DIR;-23.584.002;-4.679.133;30/12/2018
 BT;92789;EMEF        ;CDE. LUIZ EDUARDO MATARAZZO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Avenida PADRE TIAGO ALBERIONE;150;PARQUE DOS PRÃNCIPES;5396070;37829747;;;ATIVA;67;RIO PEQUENO;6702;35053259.0;31883;1,621E+14;;29/10/1985;21.536;29/10/1985;;10/12/1985;16/03/1991;;PARQUE DOS PRINCIPES;DIR;-23.573.811;-46.774.966;30/12/2018
 BT;92797;EMEF        ;JULIO DE MESQUITA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua JOSE AIRES NETO;25;JARDIM BONFIGLIOLI;5594040;37354382;;;ATIVA;12;BUTANTA;1201;35053223.0;12935;1,621E+14;;21/03/1957;3.511;21/03/1957;;21/03/1957;10/04/1981;;1. ESCOLA MISTA DO JARDIM BONFIGLIOLI;DIR;-23.581.353;-46.735.794;30/12/2018
 BT;92801;EMEF        ;IBRAHIM NOBRE;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua CORONEL SALVADOR DE MOYA;263;VILA ALBA;5368020;37316153;37354381;;ATIVA;67;RIO PEQUENO;6704;35053200.0;44114;1,621E+14;;11/11/1970;9.132;11/11/1970;;18/01/1971;10/04/1981;;IBRAHIM NOBRE;DIR;-2.357.535;-46.753.022;30/12/2018
 BT;92819;EMEF        ;BRASIL-JAPAO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua DOUTOR PAULO CARVALHO FERREIRA;94;JARDIM SARAH;5382040;37664383;;;ATIVA;67;RIO PEQUENO;6703;35053132.0;44113;1,621E+14;;23/01/1967;6.855;23/01/1967;;01/02/1967;10/04/1981;;ESCOLAS AGRUPADAS DO RIO PEQUENO;DIR;-23.573.464;-4.676.134;30/12/2018
 BT;92827;EMEF        ;ALVARO SILVA BRAGA, GEN;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua PADRE PAULO CANELLES;611;VILA DALVA;5386070;37120676;;;ATIVA;67;RIO PEQUENO;6702;35053181.0;1307;1,621E+14;;12/02/1971;9.299;11/02/1971;;11/02/1971;10/04/1981;;VILA DALVA;DIR;-23.564.172;-46.764.287;30/12/2018
 BT;92843;EMEF        ;ROBERTO MANGE, PROF.;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua JOSE CERQUEIRA BASTOS;46;JARDIM ESTER;5373090;37826700;;;ATIVA;67;RIO PEQUENO;6703;35053260.0;1322;1,621E+14;;05/12/1969;8.543;04/12/1969;;19/02/1970;10/04/1981;;E.M. JARDIM ESTHER;DIR;-23.585.791;-46.758.297;30/12/2018
 BT;92851;EMEF        ;GEN. EUCLYDES DE OLIVEIRA FIGUEIREDO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua MARECHAL OLIMPIO MOURAO FILHO;187;CIDADE SAO FRANCISCO;5352080;37664380;37684542;;ATIVA;67;RIO PEQUENO;6701;35053193.0;1308;1,621E+14;;11/11/1970;9.135;11/11/1970;;11/11/1970;10/04/1981;;EUCLYDES DE OLIVEIRA FIGUEIREDO, GEN.;DIR;-23.557.431;-46.758.491;30/12/2018
 BT;93131;EMEF        ;PROFA. MARIA ANTONIETA D ALKIMIN BASTO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Rua CASA DO ATOR;207;VILA OLIMPIA;4546001;38464931;38498729;;ATIVA;35;ITAIM BIBI;3502;35053512.0;12953;1,621E+14;;23/08/1956;3.206;23/08/1956;;09/04/1957;10/04/1981;;ESCOLA MISTA DE VILA OLIMPIA;DIR;-23.600.579;-46.675.819;30/12/2018
 BT;93149;EMEF        ;OLAVO PEZZOTTI, PROF.;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Rua FRADIQUE COUTINHO;2200;VILA MADALENA;5416002;30329908;;;ATIVA;62;PINHEIROS;6201;35054707.0;25490;1,621E+14;;23/08/1956;3.206;23/08/1956;;01/09/1956;10/04/1981;;OLAVO PEZZOTTI, PROF.;DIR;-23.550.193;-46.693.832;30/12/2018
 BT;93165;EMEF        ;DR. JOSE DIAS DA SILVEIRA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;PINHEIROS;Rua ROQUE PETRELLA;1054;VILA CORDEIRO;4581051;55315005;;;ATIVA;35;ITAIM BIBI;3504;35053405.0;37999;1,621E+14;;26/10/1969;8.470;25/10/1969;;26/11/1969;10/04/1981;;JOSE DIAS DA SILVEIRA, DR.;DIR;-23.615.949;-4.669.231;30/12/2018
 BT;97047;EMEF        ;ANEXA AO EDUCANDARIO DOM DUARTE;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Avenida ENGENHEIRO HEITOR ANTÃ”NIO EIRAS GARCIA;5985;JARDIM ESMERALDA;5564200;37821908;;;ATIVA;65;RAPOSO TAVARES;6504;35092794.0;19664;1,621E+14;;05/12/1985;21.673;05/12/1985;14/09/1985;03/02/1986;13/03/2001;;EDUCANDARIO DOM DUARTE, ANEXA AO;DIR;-23.599.701;-46.781.387;30/12/2018
 BT;97144;EMEI        ;PERO NETO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua PAULO BOURROUL;100;REAL PARQUE;5686050;37580080;37582048;37589427;ATIVA;54;MORUMBI;5404;35094791.0;2230;1,621E+14;;31/03/1986;22.068;31/03/1986;;07/04/1986;13/03/2001;;PERO NETO;DIR;-23.610.168;-467.033;30/12/2018
 BT;97152;EMEI        ;OSCAR PEDROSO HORTA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua PAULO MARANHAO;36;JARDIM D ABRIL;5398130;37828905;;;ATIVA;67;RIO PEQUENO;6702;35094924.0;19674;1,621E+14;;18/12/1985;21.756;18/12/1985;;23/05/1986;10/04/1981;;OSCAR PEDROSO HORTA;DIR;-23.576.296;-46.775.046;30/12/2018
